title,genres,keywords,overview
Despicable Me 3,"Adventure, Family, Animation, Comedy, Action","sequel, prison, jail, twin brother, despicable, minions, illumination",Gru and his wife Lucy must stop former '80s child star Balthazar Bratt from achieving world domination.
Rough Night,"Drama, Comedy","female friendship, drinking, friends, political candidate, bachelorette party, fiancé fiancée relationship, comedy of errors, male stripper, aftercreditsstinger, college friends, florida, miami, accident, dark comedy, drugs, friendship, duringcreditsstinger","Five best friends from college reunite 10 years later for a wild bachelorette weekend in Miami. Their hard partying takes a hilariously dark turn when they accidentally kill a male stripper. Amidst the craziness of trying to cover it up, they're ultimately brought closer together when it matters most."
Kidnap,"Thriller, Drama","waitress, child kidnapping, park, single parent, determination, mother, kidnapping, single mother, louisiana, police, mother son relationship, female protagonist, chase, strong woman, abduction",A mother (in her Minivan) stops at nothing to recover her kidnapped son.
The Book of Henry,"Crime, Thriller, Drama","suicide, single mother, boy genius, parent child relationship, seizure","Susan, a single mother of two, works as a waitress in a small town. Her son, Henry, is an 11-year-old genius who not only manages the family finances but acts as emotional support for his mother and younger brother. When Henry discovers that the girl next door has a terrible secret, he implores Susan to take matters into her own hands."
The Nile Hilton Incident,"Crime, Thriller, Drama","sexual blackmail, hotel, egyptian revolution, egypt, cairo, witness, police corruption","Cairo, 2011. A police officer investigates the murder of a woman in a luxurious hotel in the days leading up to the Egyptian revolution."
The Bad Batch,"Drama, Science Fiction, Horror","post-apocalyptic future, cannibal, exile, kidnapping, dystopia, drug use, cult leader, amputation, woman director",Arlen is sent to a fenced-off wasteland where undesirables are exiled to when she is kidnapped by a group of cannibals. She escapes and ends up on a journey to reunite a missing girl with her father.
The Beguiled,Drama,"period drama, 19th century, sexual tension, confederacy, virginia, girls' school, american civil war, union soldier, remake, woman director, based on novel or book","During the Civil War, at a Southern girls’ boarding school, young women take in an injured enemy soldier. As they provide refuge and tend to his wounds, the house is taken over with sexual tension and dangerous rivalries, and taboos are broken in an unexpected turn of events."
The House,Comedy,"neighbor, money, casino","When Scott and Kate Johansen’s daughter gets into the college of her dreams it’s cause for celebration. That is, until Scott and Kate learn that the scholarship they were counting on didn’t come through, and they’re now on the hook for tuition they can’t begin to afford. With the help of their friend and neighbor Frank also in need of a major payday they decide to open an illegal casino in his suburban house, risking everything together on a Vegas-style bacchanal where money flows, inhibitions are checked at the door, and all bets are off."
Spider-Man: Homecoming,"Adventure, Drama, Science Fiction, Action","reboot, aftercreditsstinger, based on comic, superhero, high school, washington dc, marvel cinematic universe (mcu), usa, new york city","Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges."
Wish Upon,"Thriller, Fantasy, Horror","wish fulfillment, magic","A teenage girl discovers a box with magical powers, but those powers comes with a deadly price."
Girl Fight Queens Of Combat,"Drama, Action","wrestler, women wrestler, wrestling, female wrestler",Team Sea Stars vs. A Mystery Team Amazing Maria vs. Londyn Ali Jinx vs. Scarlet Madi Maxx vs. Ingrid Isley Maria Manic vs. Mandy Leon Queens of Combat and Girl Fight Dual Crown Title Match Su Yung vs. Mickie Knuckles.
The Son of Bigfoot,"Family, Animation, Comedy","father, laboratory, bigfoot, villain, forest, anthropomorphism","Teenage outsider Adam sets out on an epic and daring quest to uncover the mystery behind his long-lost dad, only to find out that he is none other than the legendary Bigfoot! He has been hiding deep in the forest for years to protect himself and his family from HairCo., a giant corporation eager to run scientific experiments with his special DNA. As father and son start making up for lost time after the boy's initial disbelief, Adam soon discovers that he too is gifted with superpowers beyond his imagination. But little do they know, HairCo. is on their tail as Adam's traces have led them to Bigfoot!"
Detroit,"Crime, Thriller, Drama, History","beating, 1960s, police brutality, detroit, michigan, church, based on true story, racism, church choir, fire, murder",A police raid in Detroit in 1967 results in one of the largest citizens' uprisings in the history of the United States.
An Inconvenient Sequel: Truth to Power,Documentary,"climate science, climate observatory, habitat destruction, climate breakdown, climate crisis, environmental destruction, global warming, environmentalism, destruction of earth, climate emergency, ecology, climate activism, destruction of planet, climate change, environmental issues, self-destruction, apocalypse, climate change activism","A decade after An Inconvenient Truth brought climate change into the heart of popular culture comes the riveting and rousing follow-up that shows just how close we are to a real energy revolution. Vice President Al Gore continues his tireless fight, traveling around the world training an army of climate champions and influencing international climate policy. Cameras follow him behind the scenes—in moments private and public, funny and poignant—as he pursues the empowering notion that while the stakes have never been higher, the perils of climate change can be overcome with human ingenuity and passion."
Wind River,"Crime, Thriller, Drama, Mystery","photograph, snowmobile, mountain, native american reservation, rape, fbi, gun, binoculars, forest, rape and revenge, missing and murdered indigenous women, investigation, native american, usa, shootout, wyoming, murder",An FBI agent teams with the town's veteran game tracker to investigate a murder that occurred on a Native American reservation.
Annabelle: Creation,"Thriller, Mystery, Horror","the conjuring universe, evil doll, demonic possession, ghost, prequel, spin off, aftercreditsstinger, demon, duringcreditsstinger","Several years after the tragic death of their little girl, a doll maker and his wife welcome a nun and several girls from a shuttered orphanage into their home, soon becoming the target of the doll maker's possessed creation—Annabelle."
Columbus,Drama,"american midwest, east asian lead, korean, library, korean american, asian american, addiction recovery, small town, father son relationship, hospital, architecture, coma, mother daughter relationship, indiana, heart attack, usa, intercultural relationship","When a renowned architecture scholar falls suddenly ill during a speaking tour, his son Jin finds himself stranded in Columbus, Indiana - a small Midwestern city celebrated for its many significant modernist buildings. Jin strikes up a friendship with Casey, a young architecture enthusiast who works at the local library."
Renegades,"Thriller, Action","bosnia and herzegovina, yugoslavia, treasure, serbia, u.s. navy seal, navy","In the midst of the Balkan wars, a squad of Navy SEALs attempts to unravel a long-forgotten mystery after discovering an enormous treasure trove hidden at the bottom of a lake in Serbia."
Valley of Bones,"Crime, Thriller, Western","neo-western, neo-noir, badlands",A paleontologist gets a tip from an oil worker in the Badlands that may set her career back on track.
Inhumans: The First Chapter,"Adventure, Science Fiction, Action","based on comic, superhero, royal family, marvel cinematic universe (mcu)",An isolated community of superhumans fight to protect themselves.
It,"Fantasy, Horror","killer, death of brother, flashback, summer, demonic, school, abandoned house, small town, creature, clown, coming of age, anxious, fear, child, maine, town history, intense, well, balloon, missing person, bullying, murder, based on novel or book","In a small town in Maine, seven children known as The Losers Club come face to face with life problems, bullies and a monster that takes the shape of a clown called Pennywise."
Home Again,"Romance, Drama, Comedy","love, family, hollywood, chance, los angeles, woman director, california",Life for a single mom in Los Angeles takes an unexpected turn when she allows three young guys to move in with her.
American Assassin,"Thriller, Action","terrorism, revenge, based on novel or book","Following the murder of his fiancée, Mitch Rapp trains under the instruction of Cold War veteran Stan Hurley. The pair then is enlisted to investigate a wave of apparently random attacks on military and civilian targets."
Battle of the Sexes,"Drama, History, Comedy","1970s, biography, chauvinisim, determination, exhibition match, tennis match, battle of the sexes, tennis player, based on true story, sports, female athlete, women's rights, tennis, femme fatale",The true story of the 1973 tennis match between World number one Billie Jean King and ex-champ and serial hustler Bobby Riggs.
Only the Brave,"Drama, History, Action","heroism, test by fire, natural disaster, forest fire, tragedy, based on magazine, arizona, addiction, wildfire, based on true story, firefighter, bravery, newspaper or article, firefighting, fire, proving oneself",Members of the Granite Mountain Hotshots battle deadly wildfires to save an Arizona town.
Jeepers Creepers 3,"Thriller, Mystery, Horror","sequel, deadly creature, monster, generational, military, farming community, hunt, supernatural creature, revenge, booby trap, vision, disembodied hand, prehistoric creature, truck","Taking place on the last day of the Creeper’s twenty-three-day feeding frenzy, as the skeptical Sergeant Tubbs teams up with a task force hellbent on destroying the Creeper for good. The Creeper fights back in gory glory as its enemies grow closer than ever before to learning the secret of its dark origins."
The Foreigner,"Thriller, Action","terrorism, ira (irish republican army), death, london, revenge, bomb, united kingdom, ireland, england, based on novel or book",Quan is a humble London businessman whose long-buried past erupts in a revenge-fueled vendetta when the only person left for him to love – his teenage daughter – dies in an Irish Republican Army car bombing. His relentless search to find the terrorists leads to a cat-and-mouse conflict with a British government official whose own past may hold the clues to the identities of the elusive killers.
Blade Runner 2049,"Drama, Science Fiction","sequel, android, 2040s, artificial intelligence (a.i.), future, incredulous, dystopia, las vegas, tech noir, cyberpunk, blade runner, bounty hunter, los angeles, genetics, california","Thirty years after the events of the first film, a new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard, a former LAPD blade runner who has been missing for 30 years."
Women Of Warriors III,"Drama, Action","pro wrestling, wrestling, female wrestler","hare Warriors of Wrestling began announcing matches for her show Women of Warriors III in October. Among them is WOW Women title defense, since Nikki Addams will be on the line against Jordin Grace. Addams will also defend the belt against Madison Rain on August 12 after a recent meeting with Hellen Vale back on July 8. Aja Perera and Taeler Hendrix will debut in the promotion in New York, while various matches were announced like Perera against Vanity, Nyla Rose against Holidead and Davienne against Skylar. Willow Nightingale will team up with C-Bunny to fight Aria Cadenza and Terra Calaway. Allie Recks has also been announced; she is likely to fight with Hendrix, who does not yet have an opponent. Warriors of Wrestling presents Women of Warriors III On October 7th, Staten Island, New York Davienn vs. Skylar Tayler Hendricks vs. Allie Rex Aya Perera vs. Vanity Terra Calaway and Ariya Cadenza vs. C-Bunny and Willow Nightingale Neil Rosa vs. Holidead WOW Women's Championship: Nika"
Geostorm,"Thriller, Science Fiction, Action","disaster, overpopulated world, space, conspiracy, artificial intelligence (a.i.), future, space station, disaster movie, end of the world, space shuttle, catastrophe, storm, environmental disaster, apocalypse, weather manipulation, global threat, murder","After an unprecedented series of natural disasters threatened the planet, the world's leaders came together to create an intricate network of satellites to control the global climate and keep everyone safe. But now, something has gone wrong: the system built to protect Earth is attacking it, and it becomes a race against the clock to uncover the real threat before a worldwide geostorm wipes out everything and everyone along with it."
The Snowman,"Crime, Thriller","alcoholic, winter, snowman, unfinished, detective, gun, cellar, twins, plastic surgeon, norway, cabin, oslo, serial killer, snow, psychosis, based on novel or book",Detective Harry Hole investigates the disappearance of a woman whose pink scarf is found wrapped around an ominous looking snowman.
Boo 2! A Madea Halloween,"Horror, Comedy","sequel, halloween","Madea and the gang encounter monsters, goblins and boogeymen at a haunted campground."
Anthony Joshua vs. Carlos Takam,Action,boxing,"Following Vladimir Klitchsko's retirement after Joshua's last fight and mandatory challenger Kubret Pulev pulling out of the fight with a late injury, Carlos Takam was given just 12 days notice to fight the current WBA, IBF and IBO Heavyweight Champion.  Widely regarded on the boxing scene as having one of the toughest granite chins in the business Takam took a considerable height and weight disadvantage into the ring,  Anthony Joshua subsequently weighed in for what was then a career high 18st 2lbs and brought massive reach advantage.  Before either fighter got into their rhythm this late match up resulted in blood spilled from both sides as old vs new battled in front of 75,000 fans in Cardiff, Wales. This became a world record high attendance for an indoor boxing event."
The Story of Martin Luther,"History, Animation",short film,"After 500 years, Martin Luther finally gets his own animated film. A completely and utterly accurate history lesson about Martin Luther."
The Endless,"Thriller, Science Fiction, Horror","suicide, time manipulation, supernatural, sibling relationship, resolution collection, cult, time loop, resolution, brother, childhood trauma, the endless",Two brothers return to the cult they fled from years ago to discover that the group's beliefs may be more sane than they once thought.
The Bookshop,Drama,"shopkeeper, small town, england, 1950s, bookshop, suffolk, based on novel or book","Set in a small English town in 1959, a woman decides, against polite but ruthless local opposition, to open a bookshop, a decision which becomes a political minefield."
Justice League,"Adventure, Science Fiction, Action","super power, superhero team, aftercreditsstinger, based on comic, superhero, dc extended universe (dceu), duringcreditsstinger","Fuelled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne and Diana Prince assemble a team of metahumans consisting of Barry Allen, Arthur Curry and Victor Stone to face the catastrophic threat of Steppenwolf and the Parademons who are on the hunt for three Mother Boxes on Earth."
Film Stars Don't Die in Liverpool,"Romance, Drama","1970s, biography, based on memoir or autobiography, cancer, liverpool, fading star, older woman younger man relationship, england","Liverpool, 1978: What starts as a vibrant affair between a legendary femme-fatale, the eccentric Academy Award-winning actress Gloria Grahame, and her young lover, British actor Peter Turner, quickly grows into a deeper relationship, with Turner being the person Gloria turns to for comfort."
"Roman J. Israel, Esq.","Crime, Thriller, Drama","briefcase, lawyer, civil rights, courtroom, los angeles, murder, california","Hard-nosed liberal lawyer Roman J. Israel has been fighting the good fight forever while others take the credit. When his partner – the firm's frontman – has a heart attack, Israel suddenly takes on that role. He soon discovers some unsettling truths about the firm – truths that conflict with his values of helping the poor and dispossessed – and finds himself in an existential crisis that leads to extreme actions."
Darkest Hour,"Drama, History","biography, dunkirk, british history, london underground, world war ii, british politics, based on true story, british prime minister, winston churchill, 1940s","In May 1940, the fate of World War II hangs on Winston Churchill, who must decide whether to negotiate with Adolf Hitler or fight on knowing that it could mean the end of the British Empire."
Queens Of Combat QOC 19,"Drama, Action","pro wrestling, wrestling, female wrestler","QUEENS OF COMBAT 19 will once again delight us with its show, an invitation to stars from different federations and countries of the show will be held at the Benton Convention Center Winston-Salem, NC 11/26/17 Do not miss the main battle Su Yung Mickie Knuckles vs. Samantha Heights."
Wonder Wheel,"Romance, Drama","lifeguard, coney island, housewife, ferris wheel, 1950s, new york city","The story of four characters whose lives intertwine amid the hustle and bustle of the Coney Island amusement park in the 1950s: Ginny, an emotionally volatile former actress now working as a waitress in a clam house; Humpty, Ginny’s rough-hewn carousel operator husband; Mickey, a handsome young lifeguard who dreams of becoming a playwright; and Carolina, Humpty’s long-estranged daughter, who is now hiding out from gangsters at her father’s apartment."
RISE Wrestling. RISE 6 Brutality,"Drama, Action","pro wrestling, cell, wrestling",This new Seminar series will be focused on training and developing wrestlers and wrestling personalities skills and abilities specific to performing in a television taping environment. Training will cover facets of in-ring performance and beyond.
Smash CANUSA Classic,"Drama, Action","pro wrestling, wrestler, wrestling, female wrestler","The 5th annual Smash Wrestling CANUSA Classic is set for December 3rd in Toronto and tickets are on sale now. Here's what we know so far. Allie will remain as captain for Team USA and Rosemary will not be captaining Team Canada this year. For the first time in CANUSA history, Canadian wrestling legend Gail Kim will appear on the show. She'll take on Allie in the main event of the evening."
GWF Women Wrestling Revolution 6,"Drama, Action","pro wrestling, wrestling, female wrestler","See the GWF Women's Title match between Katey Harvey and Pollyanna , the return of Blue Nikita against Shanna and the debut of Lady Valkyrie in a 3-Way match against The Amazon Ayesha Raymond and Wesna. Also in action: Melanie Gray, Audrey Bride, Lissy Lennox, Kat Siren and more."
Cops and Robbers,"Crime, Action","hostage negotiator, revenge, bank robber, heist, negotiation","A police hostage negotiator plays a dangerous game of cat and mouse with a cornered bank robber who is hell bent on getting out of the bank and humiliating his brother, the police hostage negotiator, in the process."
Star Wars: The Last Jedi,"Adventure, Science Fiction, Action","sequel, space battle, failure, military operation, space opera, defeat, bunker","Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares to do battle with the First Order."
The 312,"Romance, Drama, Comedy","chicago, blackhawks, professional sports, chicago cubs, illinois, suburban chicago",A transformative unconventional story blending coming-of-age cinema verite in a deep personal tale of weightloss struggles and love. Based on the true relationships of Chicago natives in the two years leading up to the historic world series win.
The Ballad of Lefty Brown,Western,"a decent man, alcoholic, ambush, scapegoats, frontier justice, political expediency","Aging sidekick Lefty Brown has ridden with Eddie Johnson his entire life. But when a rustler kills Eddie, Lefty is forced from his partner’s shadow and must confront the ugly realities of frontier justice."
All the Money in the World,"Crime, Thriller, History","1970s, ransom demand, kidnapping, rome, based on true story, italy, wealth, based on novel or book",The story of the kidnapping of 16-year-old John Paul Getty III and the desperate attempt by his devoted mother to convince his billionaire grandfather Jean Paul Getty to pay the ransom.
Downsizing,"Drama, Science Fiction","provocative, exhilarated, loving, dramatic, powerful, direct, future, hopeful, euphoric, caucasian, crowd, meditative, thoughtful, married couple, speculative, procedure, shrinking, grand, sentimental, bold, dignified, therapist, reflective, enchant, sympathetic, computer, awestruck, pc, inspirational",A kindly occupational therapist undergoes a new procedure to be shrunken to four inches tall so that he and his wife can help save the planet and afford a nice lifestyle at the same time.
Hostiles,"Drama, History, Western","native american reservation, montana, indigenous peoples, 19th century, chief, new mexico, bigotry, new mexico territory, native american",A legendary Native American-hating Army captain nearing retirement in 1892 is given one last assignment: to escort a Cheyenne chief and his family through dangerous territory back to his Montana reservation.
The Post,"Drama, History","1970s, government cover-up, biography, pentagon papers, richard nixon, newspaper, journalism, vietnam war, politics, political thriller, based on true story, washington dc, journalist, usa, publisher",A cover-up that spanned four U.S. Presidents pushed the country's first female newspaper publisher and a hard-driving editor to join an unprecedented battle between journalist and government. Inspired by true events.
Phantom Thread,"Romance, Drama","haute couture, muse, wedding, obsession, husband wife relationship, brother sister relationship, london, fashion show, dressmaker, fictional biography, fashion industry, fashion designer, england, 1950s, doctor, fashion","In 1950s London, renowned British dressmaker Reynolds Woodcock comes across Alma, a young, strong-willed woman, who soon becomes ever present in his life as his muse and lover."
Finding Your Feet,"Romance, Drama, Family, Music, Comedy","london, love affair, middle class, rome, italy, retirement, england",A lady has her prim and proper life turned upside down after discovering her husband's affair.
She's Mine,"Romance, Drama, Horror",high school crush,"When a young man moves across the hall from his high school crush, basic lust turns to obsession and voyeurism will not be enough to quench his desire for her!"
Insidious: The Last Key,"Thriller, Mystery, Horror","spirit, prequel, medium, haunted house, key, 1950s","Parapsychologist Elise Rainier and her team travel to Five Keys, NM, to investigate a man’s claim of a haunting. Terror soon strikes when Rainier realizes that the house he lives in was her family’s old home."
The Commuter,"Thriller, Mystery, Action","conspiracy, train","A businessman, on his daily commute home, gets unwittingly caught up in a criminal conspiracy that threatens not only his life but the lives of those around him."
Batman: Gotham by Gaslight,"Thriller, Animation, Science Fiction, Action","jack the ripper, adult animation, based on comic","In an alternative Victorian Age Gotham City, Batman begins his war on crime while he investigates a new series of murders by Jack the Ripper."
Den of Thieves,"Crime, Thriller, Action","donut shop, armored truck, deputy sheriff, bank robbery, security, donut, strip club, fbi, bar, police brutality, death, detective, divorce, assault rifle, heist, investigation, ex-marine, los angeles, ex military, hostage situation, shootout, california",A gritty crime saga which follows the lives of an elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank.
Stardom 7th Anniversary,"Drama, Action","pro wrestling, wrestler","As long a the sun rises in the East, we will begin Stardom shows with rookies and youngsters. This show is no different, as Hiromi Mimura and Konami join the rookies and children in battle. I continue to be sad that Konami hasn't found a real place in Stardom yet, she is much better than this, but it is what it is. Hanan is the best child on the roster but all have shown flashes of ability and could turn into real stars if they continue wrestling the next few years."
Terrifier,"Thriller, Horror","gore, independent film, maniac, killer clown, clown, slasher, halloween, based on short film, evil clown","On Halloween night, a young woman finds herself as the obsession of a sadistic murderer known as Art the Clown."
Early Man,"Adventure, Family, Animation, Comedy","stone age, bronze age, prehistory, claymation, cavemen, stop motion, mining, football (soccer) match, sports, plasticine","Dug, along with his sidekick Hognob, unite a cavemen tribe to save their hidden valley from being spoiled and, all together as a team, to face the menace of a mysterious and mighty enemy, on the turf of an ancient and sacred sport."
Forever My Girl,"Romance, Drama, Music","hometown, father daughter relationship, second chance","After being gone for a decade, a country star returns home to the love he left behind."
Braven,"Thriller, Drama, Action","log cabin, cocaine, drug dealer",A logger defends his family from a group of dangerous drug runners.
Winchester,"Thriller, Horror","drug addiction, earthquake, ghost, san jose, fictional biography, based on true story, haunted house, rifle, architecture, doctor, california","San Jose, California, 1906. Isolated in her labyrinthine mansion, eccentric firearm heiress Sarah Winchester believes that she is being haunted by the souls of those killed by the guns manufactured by her company."
Peter Rabbit,"Adventure, Family, Animation","live action and animation, based on children's book, human animal relationship, rabbit, peter rabbit, food allergies, duringcreditsstinger",Peter Rabbit's feud with Mr. McGregor escalates to greater heights than ever before as they rival for the affections of the warm-hearted animal lover who lives next door.
The Mercy,"Adventure, Drama","1960s, trimaran, inventor, golden globe race, circumnavigation, yachtsman, argentina, based on true story, press agent, england, yacht","In 1968, Donald Crowhurst, an amateur sailor, endangers the fate of his family and business, and his own life, blinded by his ambition to compete in the Sunday Times Golden Globe Race, attempting to become the first person in history to single-handedly circumnavigate the world without making any stopover."
Black Panther,"Adventure, Science Fiction, Action","aftercreditsstinger, based on comic, superhero, africa, marvel cinematic universe (mcu), duringcreditsstinger","King T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war."
Hellraiser: Judgment,Horror,"sequel, pinhead","Detectives Sean and David Carter are on the case to find a gruesome serial killer terrorizing the city. Joining forces with Detective Christine Egerton, they dig deeper into a spiraling maze of horror that may not be of this world."
Unsane,"Thriller, Horror","shot on iphone, fear, stalker, mother daughter relationship, mental institution",A woman is involuntarily committed to a mental institution where she is confronted by her greatest fear.
Annihilation,"Science Fiction, Horror","beast, geologist, unusual phenomena, professor, dna, cancer, quarantine, scientist, florida, grief, depression, compound, alligator, swamp, missing husband, physicist, mysterious life form, hybrid, fauna, psychologist, coma, transformation, memory loss, self-destruction, expedition, meteor, flora, mutation, missing person, paramedic, biologist, based on novel or book","A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply."
Every Day,"Romance, Fantasy","based on young adult novel, body switch, transformation, based on novel or book","16-year old Rhiannon falls in love with a mysterious spirit named “A” that inhabits a different body every day. Feeling an unmatched connection, Rhiannon and “A” work each day to find each other, not knowing what the next day will bring."
The Hurricane Heist,"Crime, Thriller, Action","meteorologist, disaster movie, treasury department, hurricane, heist",Thieves attempt a massive heist against the U.S. Treasury as a Category 5 hurricane approaches one of its Mint facilities.
Death Wish,"Crime, Thriller, Drama, Action","father daughter relationship, vigilante, death of wife, kidnapping, criminal, police, detective, gun, dark hero, vigilante justice, robbery, shootout, remake, based on novel or book",A mild-mannered father is transformed into a killing machine after his family is torn apart by a violent act.
The Strangers: Prey at Night,"Thriller, Horror","sequel, mobile home, swimming pool, road trip, handgun, slasher, stranger, cross country, serial killer, mysterious stranger, home invasion, murder","A family’s road trip takes a dangerous turn when they arrive at a secluded mobile home park to stay with some relatives and find it mysteriously deserted. Under the cover of darkness, three masked killers pay them a visit to test the family’s every limit as they struggle to survive."
A Wrinkle in Time,"Adventure, Family, Fantasy, Science Fiction","mixed race, family, child prodigy, remake, woman director, based on novel or book","After the disappearance of her scientist father, three peculiar beings send Meg, her brother, and her friend to space in order to find him."
The Forgiven,"Thriller, Drama","killer, murderer, racist, anti-christ, archbishop","After the end of Apartheid, Archbishop Desmond Tutu meets with a brutal murderer seeking redemption."
Blockers,Comedy,"house party, loss of virginity, mid-life crisis, teenage girl, teenage sexuality, teenager, teen comedy, parent child relationship, prom night, prom, woman director","When three parents discover that each of their daughters have a pact to lose their virginity at prom, they launch a covert one-night operation to stop the teens from sealing the deal."
Benji,"Crime, Drama, Family","dog, reboot, benji","Two school kids strike up a friendship with an orphaned puppy named Benji. When danger befalls them and they end up kidnapped by robbers who are in over their heads, Benji and his scruffy sidekick come to the rescue."
Rahul Subramanian: Kal Main Udega,Comedy,"stand-up comedy, india, observational comedy","Rahul Subramanian's stand up comedy solo 'Kal Main Udega' is filled with unrelated topics, no transitions, inconsequential takes on consequential subjects and also a bit of mildly bad dancing."
Pacific Rim: Uprising,"Adventure, Fantasy, Science Fiction, Action","sequel, army, teenage hero, monster, kaiju, creature, giant robot, robot, giant monster, damage, mount fuji, alien, robot suits, alien monster","It has been ten years since The Battle of the Breach and the oceans are still, but restless. Vindicated by the victory at the Breach, the Jaeger program has evolved into the most powerful global defense force in human history. The PPDC now calls upon the best and brightest to rise up and become the next generation of heroes when the Kaiju threat returns."
Charming,"Adventure, Family, Fantasy, Animation, Music, Comedy","prince, princess, fairy tale","Three fairy tale princesses find themselves engaged to the same guy, Prince Charming."
Acrimony,Thriller,"lies, manipulation, crazy, marriage, hostile, harassment, semi-narrative, obsession, restraining order, resentment, naive young woman, therapy, taken advantage of, woman scorned, mentally unstable, hospitalization, sisters, rage, revenge, anger, class differences, inheritance, out of control, death of mother, uncontrollable anger, first time, court, torment",A faithful wife takes action when it becomes clear to her that her devious husband has betrayed her.
Chappaquiddick,"Thriller, Drama, History","cover-up, 1960s, suffocation, massachusetts, political scandal, bridge, politics, kennedy family, senator, car accident, scandal","Ted Kennedy's life and political career become derailed in the aftermath of a fatal car accident in 1969 that claims the life of a young campaign strategist, Mary Jo Kopechne."
Beyond Wrestling & WWR Present Lit Up,"Drama, Action","pro wrestling, wrestling match","Beyond Wrestling is teaming up with Women’s Wrestling Revolution for an entire card of inter-gender matches! Beyond Wrestling and Women's Wrestling Revolution presents a full intergender card with Lit Up for WrestleMania weekend, and Beyond and WWR are the only companies to due so. Intergender wrestling has been a staple of Beyond and some of the top independent talent in North America have been featured in these matches on the most watched independent wrestling YouTube channel. Kimber Lee returns after being released from her WWE contract with NXT (where she was known as Abbey Laith)"
Rampage,"Adventure, Science Fiction, Action","genetic experiment, giant gorilla, monster, rat, kaiju, wolf, gorilla, based on video game, giant lizard, giant, lizard, creature, animal monster, destroyed city, giant monster, giant animal, mutant animal, albino, mutation","Primatologist Davis Okoye shares an unshakable bond with George, the extraordinarily intelligent, silverback gorilla who has been in his care since birth.  But a rogue genetic experiment gone awry mutates this gentle ape into a raging creature of enormous size.  To make matters worse, it’s soon discovered there are other similarly altered animals.  As these newly created alpha predators tear across North America, destroying everything in their path, Okoye teams with a discredited genetic engineer to secure an antidote, fighting his way through an ever-changing battlefield, not only to halt a global catastrophe but to save the fearsome creature that was once his friend."
I Feel Pretty,"Romance, Comedy","head injury, confidence, cosmetics, delusion",A head injury causes a woman to develop an extraordinary amount of confidence and believe she's drop dead gorgeous.
Super Troopers 2,"Crime, Mystery, Comedy","sequel, comedy troupe, highway patrol, shenanigans, police, cop","When an international border dispute arises between the U.S. and Canada, the Super Troopers- Mac, Thorny, Foster, Rabbit and Farva, are called in to set up a new Highway Patrol station in the disputed area."
Avengers: Infinity War,"Adventure, Science Fiction, Action","battlefield, space, super power, cosmic, aftercreditsstinger, based on comic, superhero, magical object, magic, genocide, marvel cinematic universe (mcu), sacrifice","As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain."
Solo: A Star Wars Story,"Adventure, Science Fiction, Action","spacecraft, prequel, spin off, smuggling (contraband), space opera","Through a series of daring escapades deep within a dark and dangerous criminal underworld, Han Solo meets his mighty future copilot Chewbacca and encounters the notorious gambler Lando Calrissian."
Show Dogs,"Crime, Adventure, Family, Comedy","buddy comedy, police dog, dog, las vegas, buddy cop, undercover, rottweiler, dog show","Max, a macho, solitary Rottweiler police dog is ordered to go undercover as a primped show dog in a prestigious Dog Show, along with his human partner, to avert a disaster from happening."
First Reformed,Drama,"suicide, priest, alcoholic, morality, reverend, widow, pregnancy, religion, minister, funeral, upstate new york, religious themes, diary, global warming, eco terrorism, environmentalism, pastor, cancer, christianity, despair, ex-wife, church, religious guilt, barbed wire, faith, explosive, climate change, abortion, fatalism, church choir, environment, crisis of faith",A pastor of a small church in upstate New York starts to spiral out of control after a soul-shaking encounter with an unstable environmental activist and his pregnant wife.
Book Club,"Romance, Drama, Comedy","female friendship, new love, widow, chef, former lovers, judge, older women, get together, book club",Four lifelong friends decide that their lives could change by becoming nasty and reading Fifty Shades of Grey in their monthly book club to get inspiration on how to handle sexual pleasure at an elderly age.
